"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"","","","","","refresh","1","https://animejs.com/documentation/scope/scope-methods/refresh","text/html","301","Moved Permanently","Non-Indexable","Redirected","","61","","https://animejs.com/documentation/scope/scope-methods/refresh"
"","","","","","add","1","https://animejs.com/documentation/scope/scope-methods/add","text/html","301","Moved Permanently","Non-Indexable","Redirected","","57","","https://animejs.com/documentation/scope/scope-methods/add"
"","","","","","keeptime","1","https://animejs.com/documentation/scope/scope-methods/keeptime","text/html","301","Moved Permanently","Non-Indexable","Redirected","","62","","https://animejs.com/documentation/scope/scope-methods/keeptime"
"","","","","","revert/","1","https://animejs.com/documentation/scope/scope-methods/revert/","text/html; charset=utf-8","200","OK","Indexable","","90c326fda1f1e7855cd781ab40ff9e27","61","","https://animejs.com/documentation/scope/scope-methods/revert/"
"","","","","","addonce/","1","https://animejs.com/documentation/scope/scope-methods/addonce/","text/html; charset=utf-8","200","OK","Indexable","","cbdd3ac9c6dac44a5095955bdac9038","62","","https://animejs.com/documentation/scope/scope-methods/addonce/"
"","","","","add-constructor-function","","1","https://animejs.com/documentation/scope/add-constructor-function","text/html","301","Moved Permanently","Non-Indexable","Redirected","","64","","https://animejs.com/documentation/scope/add-constructor-function"
"","","","","scope-parameters","","1","https://animejs.com/documentation/scope/scope-parameters","text/html","301","Moved Permanently","Non-Indexable","Redirected","","56","","https://animejs.com/documentation/scope/scope-parameters"
"","","","","scope-properties","","1","https://animejs.com/documentation/scope/scope-properties","text/html","301","Moved Permanently","Non-Indexable","Redirected","","56","","https://animejs.com/documentation/scope/scope-properties"
"","","","","scope-methods","","1","https://animejs.com/documentation/scope/scope-methods","text/html","301","Moved Permanently","Non-Indexable","Redirected","","53","","https://animejs.com/documentation/scope/scope-methods"
"","","","","scope-properties/","","1","https://animejs.com/documentation/scope/scope-properties/","text/html; charset=utf-8","200","OK","Indexable","","2cccf682c591819f65af8ef6a5367233","57","","https://animejs.com/documentation/scope/scope-properties/"
